Language;Original;Gloss;Translation;Type;Remarks;Source;Citekey;Page;Exno;AddSourceInfo;Predicate;SbjPrs;SbjNbr;SbjGen;SbjCase;RPrs;RNbr;RGen;RCase;TPrs;TNbr;TGen;TCase
Hungarian;Mari lát-ja a könyv-et.;Mari see-3SG.SBJ>3SG.OBJ the book-ACC;Mari sees the book.;Transitive;;András Bárány;András Bárány;;;;see;3;SG;;NOM;/;/;/;/;3;SG;;ACC
Hungarian;Mari neked ad-ja a könyv-et.;Mari 2SG.DAT give-3SG.SBJ>3SG.OBJ the book-ACC;Mari gives you the book.;ICIA;;András Bárány;András Bárány;;;;give;3;SG;;NOM;2;SG;;DAT;3;SG;;ACC
Gorwaa;mwalimú kitaabú ng-u-∅-(g)a hariís dír desír;teacher.LMo book.LMo A.3-P.M-AUX-PRF bring.M.PST to girl.LFR;The teacher brought the book to the girl.;ICIA;;Harvey (2018: 176);Harvey2018;176;2,238;;bring;3;SG;M;NOM;3;SG;F;PP;3;SG;M;NOM
Gorwaa;mwalimú desír ng-a-∅-na kitaabú-i hariís;teacher.LMo girl.LFR A.3-P.F-AUX-IMPRF book.LMo-LAT bring.M.PST;The teacher brought the girl the book.;SCSA;;Harvey (2018: 176);Harvey2018;176;2,239;;bring;3;SG;M;NOM;3;SG;F;NOM;3;SG;M;LAT
Kapampangan;Mamye (ya)ng tela ing mestra kareng babai.;give cloth the teacher to women;The teacher will give cloth to the women.;ICIA;;Mirikitani (1972: 91);Mirikitani1972;91;80;;give;3;SG;;ERG;3;PL;;OBL/PP;3;SG;;ABS
Kapampangan;Salwan (nala)ng Jorje reng libru para kang Pedro.;buy George books for Peter;George will buy the books for Peter.;ICIA;;Mirikitani (1972: 91);Mirikitani1972;91;81;;buy;3;SG;;ERG;3;SG;;OBL/PP;3;PL;;ABS
Kapampangan;Isulat ne (ning lalaki) (ing poesia) (king mestra).;write he-it A boy O poem D teacher;The boy will write the poem to the teacher.;ICIA;;Mirikitani (1972: 116);Mirikitani1972;116;95;;write;3;SG;;ERG;3;SG;;OBL/DAT;3;SG;;ABS
Kapampangan;Binasa mya naman?;read you-it too;Did you read it too?;Transitive;;Mirikitani (1972: 170);Mirikitani1972;170;154;;read;2;SG;;ERG;/;/;/;/;3;SG;;ABS
Kapampangan;Ituki dala.;take they-them;They will take them.;Transitive;OBL.ABS;Mirikitani (1972: 170);Mirikitani1972;170;155;;take;3;PL;;ERG;/;/;/;/;3;PL;;ABS
Kapampangan;Ibye ne ning babaing [mestrang terak] ing kending [seli mu napun] kareng anak a [alang pera].;give she-it the woman teacher-of dance the candy bought you yesterday to children none money;The woman who is a dance teacher will give the candy you bought yesterday to the children without any money.;ICIA;;Mirikitani (1972: 195–196);Mirikitani1972;195–196;195;;give;3;SG;;ERG;3;PL;;OBL;3;SG;;ABS
Kapampangan;lkit ke.;saw 1ERG/3ABS;I saw him.;Transitive;;Mithun (1994: 249);Mithun1994;249;2;;see;1;SG;;ERG;/;/;/;/;3;SG;;ABS
Kapampangan;Nyɑng kɑi ɑdɑkɑp ne.;sometime later managed.to.catch 3ERG/3ABS;Sometime later, he caught her.;Transitive;;Mithun (1994: 249);Mithun1994;249;4a;;catch;3;SG;;ERG;/;/;/;/;3;SG;;ABS
Kapampangan;Nyɑng kɑi ɑdɑkɑp ne ning mɑtying ing pɑu.;sometime later managed.to.catch 3ERG/3ABS C.ERG  monkey C.ABS turtle;Sometime later, the monkey caught the turtle.;Transitive;;Mithun (1994: 249);Mithun1994;249;4b;;catch;3;SG;;ERG;/;/;/;/;3;SG;;ABS
